id	brand	label
905035872160141312	vodafone	0
905026275710001152	vodafone	0
905024738099175424	telekom	0
905001142807142400	telekom	0
904998652158124033	o2	0
904994531862618112	telekom	0
904991320472784896	vodafone	0
904989372067565568	telekom	0
904984900880801792	telekom	0
904978700327952384	o2	0
904971415547412480	vodafone	0
904958934347378689	o2	0
904845078266564611	telekom	0
904844443546779648	vodafone	0
904838370530123780	vodafone	0
904791009544024064	telekom	0
904779741047205888	vodafone	0
904763966475423744	o2	0
904739226415243264	telekom	0
904734096055787520	o2	0
904727651461603329	vodafone	0
904719767923302401	vodafone	0
904717871967850496	telekom	0
904716775828451328	o2	0
904714147224580096	telekom	0
904711681879797760	telekom	0
904709027585826817	vodafone	0
904694110216433664	vodafone	0
904683368641695744	vodafone	0
904682488232062976	telekom	0
904658460737929216	vodafone	0
904658320514064384	telekom	0
904625920442605568	telekom	0
904613822597615616	vodafone	0
904612974001827845	telekom	0
904606909180858369	o2	0
904605405359243264	telekom	0
904592172137238529	telekom	0
904454439658020869	telekom	0
904435361685884928	o2	0
904425399999905792	o2	0
904383304111030272	vodafone	0
904362461276495872	telekom	0
904356397751652353	vodafone	0
904280468262137856	telekom	0
904277495943495680	telekom	0
904254530312966144	telekom	0
904099420572176385	o2	0
904068562679156736	o2	0
904057302453547009	vodafone	0
904045757807898625	vodafone	0
904042284085366786	o2	0
904030575807401985	vodafone	1
904004820960468992	o2	0
904001207055855616	o2	1
903997956931584000	telekom	0
903993861395099650	vodafone	0
903985855412527107	o2	0
903980451450245120	telekom	0
903973160764264448	telekom	1
903950934438502400	telekom	0
903948759918415872	vodafone	0
903945932164792322	telekom	0
903943738623393792	vodafone	0
903942026613456896	telekom	0
903930628139356160	telekom	0
903927222989414403	telekom	1
903923619927117825	vodafone	0
903919462109327360	o2	0
903904686843060224	telekom	0
903895826229063681	telekom	0
903863483418148864	o2	0
903745539119996929	vodafone	0
903734756805931011	telekom	0
903683630228275202	vodafone	0
903674061896679425	telekom	0
903673629543673856	telekom	0
903664632166060032	vodafone	0
903661171961716736	telekom	0
903652783051730944	telekom	0
903643516877901824	telekom	0
903641203425542148	telekom	0
903638880011915264	telekom	0
903617939894566916	o2	0
903610305539973122	telekom	0
903609340564787200	telekom	0
903605057521897473	o2	0
903604514045001728	o2	0
903600601497563136	telekom	0
903598721337892864	o2	0
903572648193613824	telekom	0
903571753481449472	telekom	0
903568479378399233	telekom	0
903564683545899008	vodafone	0
903561829653385216	vodafone	0
903560807371468800	vodafone	1
903553249193713664	telekom	0
903540314488664065	telekom	0
903539503557685249	o2	0
903527839760355329	telekom	0
903526121240641538	vodafone	0
903525041719169024	telekom	0
903485182874812416	telekom	0
903334369728888833	o2	0
903315525681500160	o2	0
903308082951925760	o2	0
903305045130829824	o2	0
903295883571331072	telekom	0
903295651110424576	vodafone	1
903289385113747458	telekom	0
903284512003678213	o2	0
903273786593730560	telekom	0
903269452384522240	o2	0
903251804007395328	telekom	0
903249760928268288	o2	0
903237799851249665	telekom	0
903231018961907712	telekom	0
903225526638260224	vodafone	0
903200827380248576	o2	0
903179632824000512	vodafone	0
903170595290013696	o2	0
903163329253961728	o2	0
903162919512408068	o2	0
903157382448066560	telekom	0
903098979466059777	o2	0
903013009072717824	telekom	0
902988452102275072	o2	0
902981486227402753	vodafone	0
902948346188500992	telekom	0
902947321155133440	o2	0
902944935380488197	telekom	0
902937479426318338	telekom	0
902917137718792194	telekom	0
902906748448768000	telekom	0
902901676868329476	telekom	0
902879633170989056	telekom	0
902874019841658880	vodafone	0
902865565248827392	o2	0
902858146330365952	telekom	0
902841548475428864	o2	0
902839894892052480	vodafone	0
902825059366129664	o2	0
902822387107979264	vodafone	0
902814102707458048	o2	0
902811744879480833	vodafone	0
902811352246484992	vodafone	0
902809016069488640	vodafone	0
902793837973786626	vodafone	0
902790609500504064	telekom	0
902667394686091266	vodafone	0
902639927195832322	o2	1
902618109844086785	telekom	0
902607815008813056	vodafone	0
902603665504178180	telekom	1
902595227231424512	vodafone	0
902595083664584704	vodafone	0
902589741752823811	o2	0
902589719816622082	telekom	0
902588701775200256	vodafone	0
902583964447145987	vodafone	0
902575867091701760	vodafone	0
902561125119741952	o2	0
902552247577477120	telekom	0
902544771008385024	vodafone	1
902513023788699648	vodafone	0
902492907550253056	telekom	0
902449334112931840	o2	0
902429316570640384	telekom	0
902262448123768834	vodafone	0
902261416723435527	telekom	0
902229675359051777	telekom	0
902222468466823168	vodafone	1
902209389968359424	o2	1
902203282067779585	vodafone	0
902200661072379905	o2	0
902192135264403457	telekom	0
902189576005013504	telekom	0
902166556431585280	telekom	0
902158761569210369	vodafone	0
902146212417212416	o2	0
902141583923007488	telekom	0
902124834662084609	vodafone	1
902105617866874886	vodafone	0
902086924353114112	o2	0
902037596435619840	o2	0
901898438513655809	telekom	0
901840516739985408	vodafone	0
901807072718843905	telekom	0
901776151626084352	vodafone	0
901740783677706240	telekom	0
901705825647038464	telekom	1
901102307361902592	telekom	0
901091910546321408	o2	0
901087691437215745	o2	0
901086904132792320	o2	0
901059566447861760	telekom	0
901059140495302656	o2	1
901047775927955457	telekom	0
901035817199685632	o2	0
901035290143465472	telekom	0
901005530642219008	telekom	0
901002461619605504	o2	0
901000491768918016	telekom	0
900999343985086464	telekom	0
900988478426689536	vodafone	0
900986763627429888	o2	0
900979323942907904	o2	0
900974311359512576	o2	0
900943869159718912	o2	1
900916254697025536	vodafone	0
900872647873003520	vodafone	0
900823610771853312	telekom	0
900813756174929922	vodafone	0
900804542752849920	o2	0
900801930800353281	o2	0
900801715141836801	telekom	0
900740089357250560	o2	1
900739902094102529	telekom	0
900735036416303104	telekom	0
900718634565341185	o2	0
900698192504860676	telekom	0
900694539085770752	telekom	0
900679153799901185	vodafone	0
900605007069929472	o2	0
900603573335150592	o2	1
900566245187170304	telekom	0
900441359307468801	o2	0
900441330773524485	o2	0
900436900300943360	vodafone	0
900432294695100416	telekom	0
900423198839369728	vodafone	0
900392297485012993	o2	1
900363473812692992	telekom	0
900357158197506049	vodafone	0
900349110124814337	vodafone	0
900348861713010688	vodafone	0
900333216204279808	vodafone	0
900321654496251904	telekom	0
900316702956769285	o2	0
900311989016301568	telekom	0
900305819165761536	telekom	0
900294885135273988	telekom	0
900273278639521792	o2	0
900263836657307648	o2	0
900263015806898176	o2	0
900172516320317440	telekom	0
900147820027678720	o2	0
900120637154500609	vodafone	0
900113815353909250	vodafone	1
900086964644450304	vodafone	0
900083319941079041	telekom	0
900061536575791104	vodafone	0
900051200560824320	telekom	0
900015428977606656	o2	0
900008775633035265	telekom	0
900005027288317952	telekom	0
899997106995441664	vodafone	0
899983884519182337	telekom	0
899983056286736384	o2	0
899980446871805952	o2	0
899974688390209536	telekom	0
899967197761687552	vodafone	0
899966615156142080	telekom	0
899956863344803841	telekom	1
899949582825779200	o2	0
899941531779575808	vodafone	0
899922813183832064	o2	0
899921557023334401	o2	0
899855474845249537	telekom	0
899744379455373313	o2	1
899706142510731264	o2	0
899702222426189826	telekom	0
899696295216066565	vodafone	0
899695072274415617	telekom	0
899691340514156546	vodafone	0
899684664377581568	o2	0
899680021907984384	o2	0
899672951632670721	o2	0
899662408251297793	vodafone	0
899654403384381440	telekom	0
899654355225366528	o2	0
899650622110158848	vodafone	0
899647945967976448	telekom	0
899643304240963584	o2	1
899639743633399808	telekom	0
899635750651736064	vodafone	0
899609009535275009	o2	0
899606695919448064	telekom	0
899581913534476290	vodafone	0
899577612321906689	vodafone	0
899573563073720320	vodafone	0
899564028833476608	telekom	0
899562805376036864	telekom	0
899555486214881280	telekom	0
899485977747480578	vodafone	0
899413621356331008	telekom	0
899362088019275783	vodafone	0
899354802953613312	vodafone	0
899354694119821313	o2	0
899345051674963968	o2	0
899293395260145664	vodafone	0
899256052931284993	o2	0
899243460070453248	o2	0
899224429909114880	telekom	0
899176932713123840	o2	0
899015391405645828	telekom	0
899007660514713600	vodafone	0
898988933874413568	o2	0
898941195631681537	o2	0
898857027715321857	o2	0
898819386538065920	vodafone	1
898684662259658752	telekom	0
898632255404466177	telekom	0
898628356933132293	telekom	0
898625240137211905	vodafone	0
898607152440332289	o2	0
898606167299063809	o2	1
898597645303853056	telekom	0
898576852649955329	telekom	0
898566106838970368	telekom	0
898546479480131586	telekom	0
898535241467473920	vodafone	0
898521202163154944	o2	0
898519147776286720	o2	0
898512108522012674	telekom	0
898506685584691200	telekom	0
898495360280256516	o2	0
898489842782359557	vodafone	0
898486351267549184	o2	0
898476499254358016	o2	0
898472157268848641	telekom	0
898468164249550848	telekom	0
898459227903209472	vodafone	1
898445583467393024	telekom	0
898435312162021376	vodafone	0
898382585163902978	o2	0
898321730137198596	o2	0
898279264663085057	vodafone	0
898264994504114177	o2	0
898260937198649344	vodafone	0
898259526725521408	telekom	0
898250617981771776	vodafone	0
898233866426753024	telekom	0
898200121241993218	o2	0
898168794744578048	o2	1
898155448561487872	vodafone	0
898154573541650432	o2	0
898153773658513408	telekom	0
898146113194250240	vodafone	0
898141786723504128	vodafone	0
898141287349714944	vodafone	0
898139826473455616	telekom	0
898128833714561024	telekom	0
898127091929149440	o2	0
898125635075399680	vodafone	0
898118947794542592	vodafone	0
898110387786219521	o2	1
898109143621435392	o2	0
898105381355966464	o2	0
898098362112765952	o2	0
898097991805960192	o2	0
898097142753001472	telekom	0
898081820763463680	o2	0
898079002652536832	telekom	0
898071642466910208	telekom	0
898068556390313984	o2	0
898033475122483201	vodafone	0
897937130168532992	telekom	0
897924640030568449	o2	1
897920870664085504	telekom	0
897920812057022469	o2	0
897912140975276033	telekom	0
897898210504593408	vodafone	0
897890081712820226	telekom	0
897886039309733897	o2	0
897883120824930310	o2	0
897883106904035331	o2	1
897880647259303936	vodafone	0
897875123822317573	vodafone	0
897856394799591424	o2	0
897847854924009477	telekom	0
897802618420031488	o2	0
897791838198915077	telekom	0
897750997484920833	o2	0
897746979815608320	vodafone	0
897744355032801282	vodafone	0
897736152173735936	vodafone	0
897717878828523520	o2	0
897706758369669122	vodafone	0
897700667288113152	o2	0
897556352717000705	telekom	0
897536040759574530	vodafone	0
897534402003169280	o2	0
897531328467546112	vodafone	0
897521139546804224	vodafone	0
897503639685562368	telekom	0
897497382316912640	vodafone	0
897494255379382273	telekom	0
897480959632826368	o2	0
897472060301115394	vodafone	0
897431129170612224	telekom	0
