nein! es geht nicht weil mein vertrag von vor 2017 ist und ich so doof bin, schon seit jahren dafuer zu zahlen	DE		0
nein! es geht nicht weil mein vertrag von vor 2017 ist und ich so doof bin, schon seit jahren dafuer zu zahlen	DE		0
Swisscom ist scheisse. Mache mir gleich ein Abo bei Sunrise!	DE	sunrise	0
Swisscom ist scheisse. Mache mir gleich ein Abo bei Sunrise!	DE	swisscom	1
Ich wechsle heute zu Sunrise. Swisscom ist zu teuer!	DE	sunrise	0
Ich wechsle heute zu Sunrise. Swisscom ist zu teuer!	DE	swisscom	1
Ich werde mit Salt aufhören. Swisscom ist viel besser	DE	salt	1
Ich werde mit Salt aufhören. Swisscom ist viel besser	DE	swisscom	0
Die Internetgeschwindigkeit ist wirklich schlecht und ich werde meinen Vertrag kündigen	DE		1
Am Ende des Monats werde ich von Swisscom zu Salt wechseln	DE	salt	0
Am Ende des Monats werde ich von Swisscom zu Salt wechseln	DE	swisscom	1
Mit Swisscom bin ich nicht mehr zufrieden. Alles ist zu teuer. 	DE	swisscom	0
Internet mit Swisscom ist wirklich gut und sehr schell	DE	swisscom	0
Salt ist gar nicht gut. Swisscom ist teurer aber viel besser	DE	salt	0
Salt ist gar nicht gut. Swisscom ist teurer aber viel besser	DE	swisscom	0
Ich muss Orange verlassen. Alle Pakete sind zu teuer	DE	orange	1
In zwei Wochen ist mein Vertrag mit Salt fertig. Ist Swisscom oder Orange besser?	DE	orange	0
In zwei Wochen ist mein Vertrag mit Salt fertig. Ist Swisscom oder Orange besser?	DE	salt	1
In zwei Wochen ist mein Vertrag mit Salt fertig. Ist Swisscom oder Orange besser?	DE	swisscom	0
Jetzt bin ich beim Salt aber ich möchte meinen Vertag kündigen. Habe ich einen guten Preis für dar inOne Paket?	DE	salt	1
Habe ich einen besseren Preis wenn ich einen Vertrag für das inOne M und das Swisscom TV mache?	DE	swisscom	0
Ich werde kündigen wenn ich einen besseren Preis nicht bekomme.	DE		1
Falls ich einen besseren Preis bekomme, werde ich nicht Orange wechseln	DE	orange	0
Sie sagen mir einen besseren Preis oder ich bin weg	DE		1
Ich werde mein Swisscom Abo so schnell wie möglich kündigen, Swisscom ist viel zu teuer!	DE	swisscom	1
Wenn ich dich wäre würde ich ein M-Budget Abo machen, Swisscom ist zu teuer!	DE	swisscom	0
Ich habe vor einem Monat zu M-Budget gewechselt weil Swisscom zu teuer war.	DE	swisscom	1
Ich werde mein Abo zu Salt wechseln, die haben bessere Angebote für Studenten als Swisscom.	DE	salt	0
Ich werde mein Abo zu Salt wechseln, die haben bessere Angebote für Studenten als Swisscom.	DE	swisscom	1
UPC's Service ist soo schlecht, ich werde nie mehr ein UPC Abo abschliessen!	DE	upc	0
Dieser UPC Service ist katastrophal, ich werde sofort kündigen!	DE	upc	1
Sunrise hat viel bessere Angebote für Studenten als Swisscom!	DE	sunrise	0
Sunrise hat viel bessere Angebote für Studenten als Swisscom!	DE	swisscom	0
Ich finde Sunrise viel besser als Salt.	DE	sunrise	0
Ich finde Sunrise viel besser als Salt.	DE	salt	0
Immer noch keinen Salt Empfang im Ferienhaus, ich wechsle jetzt zu Swisscom!	DE	salt	1
Immer noch keinen Salt Empfang im Ferienhaus, ich wechsle jetzt zu Swisscom!	DE	swisscom	0
Mischt man O2 zu gleichen Teilen mit H2, kann man eine Bombe bauen.	DE	o2	0
Orange war früher meine Lieblingsfarbe, jetzt bin ich aber zu blau gewechselt.	DE	orange	0
UPC schafft es nicht, UHD anzubieten für die WM. Ich muss wohl oder übel zu Swisscom wechseln!	DE	upc	1
UPC schafft es nicht, UHD anzubieten für die WM. Ich muss wohl oder übel zu Swisscom wechseln!	DE	swisscom	0
sehr schlechter service von vodafone. hier gibt es aber keinen anderen anbieter, bin gezwungen zu bleiben	DE	vodafone	0
Auch wenn Salt ein schlechteres Netz hat als Swisscom, wegen den Preisen würde ich aber trotzdem nicht wechseln	DE	salt	0
Auch wenn Salt ein schlechteres Netz hat als Swisscom, wegen den Preisen würde ich aber trotzdem nicht wechseln	DE	swisscom	0
